checkfit_json,common_aperture_arcsec,contained,frame_status,galaxy_id,logMstar,logMstar_method_sd,n_intersecting_bricks,n_retained,pair_to_next_abs_delta_background_over_mean_RMS,pair_to_next_abs_delta_common_aperture_arcsec,pair_to_next_abs_delta_log10_Mstar_dex,pair_to_next_abs_delta_stage1_R50_arcsec,pair_to_next_pass,r_background,r_background_rms,reason,safe_radius_arcsec,size_pix,stage1_R50_arcsec,stage1_Rd_arcsec
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",59.93552934624482,True,success,WALLABY J125012+073442,10.79194706779612,0.1381116066345076,4,58,,,,,,0.000112056,0.00371833,,287.75722,2304,5.7528813400769145,3.427706769992662
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",65.92908228086931,True,success,WALLABY J125112+045132,10.864633614808776,0.13821533166363478,4,59,0.021998226241756604,0.0,0.002741989784222909,0.014552491145035873,False,9.12425e-05,0.000995979,,131.36418,1024,9.699820533610174,5.779389239119073
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",65.92908228086931,True,success,WALLABY J125112+045132,10.861891625024553,0.1399210813710773,4,59,0.005772666509992999,0.0,0.0027396818742708717,0.021442203910115865,True,6.93901e-05,0.000990763,,164.90018,1280,9.685268042465138,5.770718510579862
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",65.92908228086931,True,success,WALLABY J125112+045132,10.859151943150282,0.14177036050299605,4,59,,,,,,7.51011e-05,0.000987872,,198.43618,1536,9.663825838555022,5.757942723428778
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",23.107741137851445,True,success,WALLABY J125114+052031,9.462666391504662,0.15132699365835772,4,48,0.020335040421211946,0.0,0.0287605764548573,0.2672752146891195,False,0.00016686,0.00388659,,128.89352000000002,1024,5.865098401016561,3.4945684270916706
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",23.107741137851445,True,success,WALLABY J125114+052031,9.433905815049805,0.15530653956146265,4,48,0.007169224067270046,0.0,0.006298119653727952,0.027035723747947493,True,9.0543e-05,0.00361937,,162.42952000000002,1280,6.1323736157056805,3.653817507454049
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",23.107741137851445,True,success,WALLABY J125114+052031,9.440203934703533,0.155924686313431,4,48,,,,,,0.000115558,0.00335907,,195.96552000000003,1536,6.159409339453628,3.669926049912054
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",13.043717454748347,True,success,WALLABY J125121+063829,9.706977670659334,0.16874562806699372,4,42,0.005521604615000363,0.0,0.011337955103082109,0.016744083670578114,True,0.000195912,0.00513705,,127.6726,1024,3.904037261783109,2.3261204536401348
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",13.043717454748347,True,success,WALLABY J125121+063829,9.695639715556252,0.16518043481727437,4,42,,,,,,0.000168499,0.00479231,,161.2086,1280,3.887293178112531,2.316143920914675
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",23.107741137851445,True,success,WALLABY J125133+080241,8.770033030599881,0.16298978920721938,2,48,0.0009934207142659344,2.310774113785147,0.003995705434197916,0.00858866034629635,False,0.000168653,0.00521137,,131.93009999999998,1024,4.385977926872808,2.6132724358919783
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",25.41851525163659,True,success,WALLABY J125133+080241,8.77402873603408,0.16338215167349954,2,49,0.001471538559023358,0.0,0.0003767790858741904,0.030543272125072463,True,0.000163631,0.00489915,,165.46609999999998,1280,4.394566587219105,2.618389768837659
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",25.41851525163659,True,success,WALLABY J125133+080241,8.773651956948205,0.16410543455733165,2,49,,,,,,0.000170656,0.00464868,,199.00209999999998,1536,4.425109859344177,2.6365881940183598
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",25.41851525163659,True,success,WALLABY J125134+055147,10.746620742209737,0.1285047262724771,2,49,0.003110256346738075,0.0,0.002915087232798541,0.03190805170515443,True,0.0002112,0.0044612,,131.40872,1024,5.626924404888049,3.3526585612860615
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",25.41851525163659,True,success,WALLABY J125134+055147,10.749535829442536,0.1276137535155701,2,49,,,,,,0.000197389,0.00441974,,164.94472,1280,5.595016353182895,3.333646967202744
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",13.043717454748347,True,success,WALLABY J125156+035954,8.76536932781153,0.15421505525749335,2,42,0.022879716746203507,0.0,0.005183638352960429,0.007083523288382132,False,0.000111252,0.00113354,,130.93712,1024,4.806277380791726,2.86369708372642
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",13.043717454748347,True,success,WALLABY J125156+035954,8.76018568945857,0.1550771966320942,2,42,0.005496315479693929,0.0,0.005731110338373924,0.009373840399526934,True,8.59857e-05,0.00107508,,164.47312,1280,4.813360904080108,2.867917619366855
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",13.043717454748347,True,success,WALLABY J125156+035954,8.765916799796944,0.15416040411023485,2,42,,,,,,9.18221e-05,0.00104867,,198.00912,1536,4.822734744479635,2.873502781705326
