name,team_release,ra,dec,dist_h,log_m_hi_corr,ell_maj_beams_30arcsec,rel,qflag
WALLABY J100619-442643,Vela TR1,151.5811102632294,-44.44527938260619,266.84142191274225,10.304561971726374,2.4194281507,0.9999994271451942,0.0
WALLABY J100629-462816,Vela TR1,151.6248212042405,-46.47111912634531,168.31505464352742,9.812683336272386,1.43913668845,0.9999974797026888,0.0
WALLABY J100633-442552,Vela TR1,151.6413533482273,-44.43117209336817,240.27391130148192,9.6553768433009,1.02166557306,0.7665696268063141,0.0
WALLABY J100645-474147,Vela TR1,151.6909691134493,-47.69657413263839,57.75438664935244,9.431349418290937,2.49135126252,1.0,0.0
WALLABY J100647-473156,Vela TR1,151.696545891082,-47.53226628795957,185.44221723464875,9.671204328670173,1.11297510641,0.8171533152222222,0.0
WALLABY J100650-464555,Vela TR1,151.7088972568106,-46.76544900328637,274.89271701833025,9.691563433874348,0.85075716573,0.9383524180096278,0.0
WALLABY J100656-450242,Vela TR1,151.7347815011327,-45.04507462855512,55.740823279771824,9.968919568875581,2.66942851364,1.0,0.0
WALLABY J100700-430434,Vela TR1,151.7540595133784,-43.07623709579052,87.25924854075544,9.888349899167649,1.75135361725,0.9999999962806653,0.0
WALLABY J100707-460954,Vela TR1,151.7800350803067,-46.16517662438625,264.4227472709399,10.027555966062195,1.11316662928,0.9999384104809831,0.0
WALLABY J100713-445637,Vela TR1,151.8050302740059,-44.94360585215976,54.998974547264524,9.064148742209028,1.35109721924,0.99999996051528,0.0
WALLABY J100732-471911,Vela TR1,151.8840483803929,-47.31973175062893,48.03743358464043,8.781212543896599,1.2044403426,0.9999999730337054,0.0
WALLABY J100733-460851,Vela TR1,151.8914568395624,-46.14756140713568,256.3538059497541,10.332303171951107,2.12106431542,0.9999999959347443,0.0
WALLABY J100739-471949,Vela TR1,151.913177361708,-47.33031627497495,191.44883317429384,10.076897377101163,1.26932128865,0.9999999854565733,0.0
WALLABY J100743-445722,Vela TR1,151.9303444950885,-44.95628649927737,150.51162358207608,10.217654359154885,1.90804668019,1.0,4.0
WALLABY J100745-432954,Vela TR1,151.9403938875982,-43.49844999871028,45.47982677611362,9.287371008731359,1.98358698412,1.0,0.0
WALLABY J100745-462101,Vela TR1,151.9382453896767,-46.3502802449674,266.76508059574104,9.913474092192702,1.16316979764,0.7936026335069049,0.0
WALLABY J100748-430145,Vela TR1,151.9515847040315,-43.02939541636121,89.32148147283692,9.776523591978597,2.0410957609,0.9999152896855518,0.0
WALLABY J100801-473847,Vela TR1,152.0057660323939,-47.64655497195623,47.91851352362152,9.321607846357873,2.33874761844,1.0,0.0
WALLABY J100803-425316,Vela TR1,152.0129234197753,-42.88795566400505,142.56539767576314,9.558494814778921,1.1545378915,0.9067833658640115,0.0
WALLABY J100817-475436,Vela TR1,152.0713023272671,-47.91020142900997,38.083993214169986,8.595850266353022,1.14124832507,0.9999999999964788,0.0
WALLABY J100820-483803,Vela TR1,152.0873302834316,-48.63440354534062,39.375958619019734,8.86055286156144,1.68230000776,0.9999552062651134,0.0
WALLABY J100824-473333,Vela TR1,152.1025837554692,-47.55932508963962,195.9087681214162,9.477183850222733,0.794393560093,0.850721011277719,0.0
WALLABY J100846-472728,Vela TR1,152.1940616883978,-47.45778067119444,231.9505318967846,10.200924580116588,1.27026588259,0.9999980542028586,0.0
WALLABY J100847-430256,Vela TR1,152.1999486653653,-43.04893816322087,63.867819760986265,9.649166571502649,1.80377994691,1.0,4.0
WALLABY J100850-443119,Vela TR1,152.2098132237824,-44.52206147809171,75.89336102920868,9.07706320203976,0.98056196698,0.9957862985328525,0.0
WALLABY J100853-431058,Vela TR1,152.2215455302248,-43.18293709497304,354.44785906005467,10.041452537010516,1.16965827099,0.7611192592211438,0.0
WALLABY J100855-444107,Vela TR1,152.2316720244014,-44.68527783653338,91.20750020262943,9.357084541753684,1.5683134623,0.9998992445094674,0.0
WALLABY J100859-431530,Vela TR1,152.246252619427,-43.25849892211541,181.12971121949548,9.722550692220192,1.2737089163,0.7451638335912654,0.0
WALLABY J100859-445345,Vela TR1,152.2484120213618,-44.89583845603952,149.93272768950246,9.44315616484328,1.6897860388,0.9470286121489593,0.0
WALLABY J100913-430010,Vela TR1,152.3049233608324,-43.0029926474409,65.02883157834172,9.18251467056386,1.04179046727,0.9979136614444616,0.0
WALLABY J100916-430948,Vela TR1,152.3190800754232,-43.16334392397983,63.471099414922094,9.601940744581519,1.90833789528,1.0,4.0
WALLABY J100916-431959,Vela TR1,152.3183582804295,-43.33309955638129,65.69942184930298,10.098564019575427,4.02787205302,1.0,0.0
WALLABY J100936-450306,Vela TR1,152.400451914513,-45.05173660721776,53.290844400379285,8.835950794342033,1.19725353807,1.0,0.0
WALLABY J100944-434707,Vela TR1,152.4366479448742,-43.78530910977535,145.21104265248456,10.513835520928183,7.87686399649,1.0,0.0
WALLABY J101000-462652,Vela TR1,152.5019738835024,-46.44778467845481,186.48777971217396,9.846879529663886,1.50788641941,0.9999874462224492,0.0
WALLABY J101031-470644,Vela TR1,152.6298920728278,-47.11234419524475,38.36017286378655,8.826111997418241,1.94203596561,1.0,0.0
WALLABY J101036-433659,Vela TR1,152.6516257210581,-43.61654482481744,261.08295454122015,10.444212015755395,1.70449094572,0.9999999871226574,0.0
WALLABY J101053-473338,Vela TR1,152.7246624856384,-47.5605656440212,91.05437943390699,9.263862529657562,1.48296899541,0.8733410227190532,0.0
WALLABY J101057-473250,Vela TR1,152.7414458182193,-47.54725416874162,61.37372123866865,8.893754389487333,1.25879573113,0.9980932584130878,4.0
WALLABY J101059-450851,Vela TR1,152.7469634341318,-45.14753735862972,57.728445486330834,9.663144438947818,3.07299675852,1.0,0.0
WALLABY J101102-453912,Vela TR1,152.7592382824686,-45.65336609082453,260.4209086609066,10.089053926031836,1.46757386561,0.9924966457952521,0.0
WALLABY J101113-435133,Vela TR1,152.8054886990456,-43.85932300920499,88.99476833256286,9.426301267851867,1.33452773612,0.9998270929817754,0.0
WALLABY J101115-432421,Vela TR1,152.8158267065103,-43.40585167946444,275.48010711543674,10.228454714685796,1.35679744584,0.9972665674167156,0.0
WALLABY J101143-455557,Vela TR1,152.9297687934684,-45.932570433567,27.354822736588797,8.70086568547971,1.91945418237,1.0,0.0
WALLABY J101144-430308,Vela TR1,152.9370207886164,-43.0522296788638,43.7812114915267,8.6806766359879,1.65796453923,0.8029726305310851,0.0
WALLABY J101144-455153,Vela TR1,152.9342652158824,-45.86473670042668,259.26961852816174,10.445959323625026,1.41110850271,0.9999999999963541,0.0
WALLABY J101146-461636,Vela TR1,152.9448129064159,-46.27666279288285,264.54485466880845,9.973961133327869,1.11179868019,0.7454375512863084,0.0
WALLABY J101214-430504,Vela TR1,153.0588595908845,-43.08451305061018,214.84571035888385,10.110344158540663,2.02145735912,0.9914873706458746,0.0
WALLABY J101219-471739,Vela TR1,153.0816577346399,-47.29432561544795,36.18679181114248,9.831178735412287,4.24565902743,1.0,0.0
WALLABY J101232-451408,Vela TR1,153.1359537820738,-45.23571521552709,58.83606827812438,10.12378478791454,3.49275880613,1.0,0.0
