galaxy_id,field_id,log10_gbar,gbar,gobs,proxy_value,delta_ref,primary_resolution,crossfit_ok,stratum,rad_arcsec,vrot_kms,gstar,log10_gstar,ggas,gravity_step_relative_change
WALLABY J130802+062900,NGC4808,-9.70401777448,1.97688872984e-10,1.47803660538e-10,14.2285679272,-0.263785643733,True,True,high,7.5,130,1.97348610571e-10,-9.7047659269,3.40262412876e-13,2.82749454126e-07
WALLABY J130802+062900,NGC4808,-10.3236807563,4.74590721981e-11,9.47272797443e-11,14.2285679272,-0.0257045801638,True,True,high,22.56,180.5,4.62130681588e-11,-10.335235197,1.24600403932e-12,8.07286358334e-06
WALLABY J130802+062900,NGC4808,-10.7743503259,1.68131727053e-11,4.12542870694e-11,14.2285679272,-0.109951895923,True,True,high,37.61,153.8,1.52878407064e-11,-10.8156538511,1.52533199892e-12,1.49561858469e-06
WALLABY J130802+062900,NGC4808,-11.035150897,9.2225093252e-12,2.52886798943e-11,14.2285679272,-0.171850905026,True,True,high,52.67,142.5,7.38929912714e-12,-11.1313967524,1.83321019806e-12,1.12141665138e-06
WALLABY J130815-210002,NGC5044,-11.3442678135,4.52618380641e-12,2.60041576686e-11,5.42448441175,0.0124118248831,True,True,low,7.5,26.2,4.52618380641e-12,-11.3442678135,0,4.36492443285e-06
WALLABY J130815-210002,NGC5044,-11.3108036052,4.88873385588e-12,3.70077710913e-11,5.42448441175,0.147302961816,True,True,low,22.47,54.1,3.95212848545e-12,-11.4031689447,9.36605370425e-13,6.81037348038e-06
WALLABY J130815-210002,NGC5044,-11.4140497972,3.85434160406e-12,3.83725663489e-11,5.42448441175,0.219484629252,True,True,low,37.43,71.1,2.53415858316e-12,-11.5961662112,1.3201830209e-12,5.1855668443e-07
WALLABY J130815-210002,NGC5044,-11.3846722051,4.12408677658e-12,3.29882585497e-11,5.42448441175,0.137815908555,True,True,low,52.4,78,1.56445037417e-12,-11.8056382085,2.55963640241e-12,5.01233107695e-06
WALLABY J130815-210002,NGC5044,-11.4907452008,3.23038882503e-12,2.592191304e-11,5.42448441175,0.0907236624667,True,True,low,67.37,78.4,9.87957914594e-13,-12.0052615553,2.24243091043e-12,4.55390503401e-06
WALLABY J130815-210002,NGC5044,-11.6480388008,2.24885367938e-12,2.18084533189e-11,5.42448441175,0.100172498389,True,True,low,82.34,79.5,6.52367304313e-13,-12.1855078133,1.59648637506e-12,5.54290240185e-07
WALLABY J130815-210002,NGC5044,-11.800910628,1.58157347261e-12,1.9395628117e-11,5.42448441175,0.130458535315,True,True,low,97.3,81.5,4.53189031477e-13,-12.3437206099,1.12838444114e-12,3.00071707637e-07
WALLABY J130906+051433,NGC4808,-11.3619483094,4.34561943509e-12,1.95352960542e-10,19.8563792943,0.897864702924,True,True,high,7.5,106.2,4.34561943509e-12,-11.3619483094,0,2.8188687466e-06
WALLABY J130906+051433,NGC4808,-11.8426001327,1.43681173802e-12,4.03407573992e-11,19.8563792943,0.470508130046,True,True,high,22.56,83.7,1.04103865159e-12,-11.9825331457,3.95773086431e-13,3.47798218241e-06
WALLABY J130906+051433,NGC4808,-11.9128099081,1.22233456236e-12,2.07994732376e-11,19.8563792943,0.219762862543,True,True,high,37.61,77.6,3.45451118448e-13,-12.4616133969,8.76883443908e-13,4.62054894648e-07
WALLABY J130906+051433,NGC4808,-11.8481221239,1.41865853798e-12,1.35427020818e-11,19.8563792943,-0.000619405903993,True,True,high,52.67,74.1,1.66720580233e-13,-12.7780107869,1.25193795775e-12,4.00080882693e-06
WALLABY J130906+051433,NGC4808,-11.8425060791,1.43712293686e-12,1.1109246192e-11,19.8563792943,-0.0896009195891,True,True,high,67.72,76.1,9.87380579518e-14,-13.005515419,1.33838487891e-12,1.71264677062e-06
WALLABY J130906+051433,NGC4808,-11.8661838698,1.36086840151e-12,8.52396741461e-12,19.8563792943,-0.192167312815,True,True,high,82.78,73.7,6.54610199293e-14,-13.1840172324,1.29540738158e-12,8.50483987054e-07
WALLABY J130947-101916,NGC5044,-10.8840602188,1.30598978832e-11,1.77035433277e-10,8.08578160206,0.586711666588,True,True,low,7.5,58.5,1.30598978832e-11,-10.8840602188,0,1.56503207958e-06
WALLABY J130947-101916,NGC5044,-10.9727144243,1.06484298861e-11,6.02821015571e-11,8.08578160206,0.169855582161,True,True,low,22.48,59.1,1.0148441619e-11,-10.9936006423,4.99988267157e-13,1.13871831406e-07
WALLABY J130947-101916,NGC5044,-11.1573423723,6.96077551005e-12,1.0499895516e-10,8.08578160206,0.515179756237,True,True,low,37.47,100.7,5.93404705485e-12,-11.2266490142,1.02672845521e-12,2.74373062714e-08
WALLABY J130947-101916,NGC5044,-11.3663261712,4.30203390478e-12,9.6978443685e-11,8.08578160206,0.596113179263,True,True,low,52.45,114.5,3.43085535768e-12,-11.4645975911,8.71178547106e-13,2.45981410249e-06
WALLABY J130947-101916,NGC5044,-11.4275575432,3.73630616742e-12,8.24413074237e-11,8.08578160206,0.558954411808,True,True,low,67.43,119.7,2.08191208982e-12,-11.6815376128,1.65439407761e-12,1.86730086132e-06
WALLABY J130947-101916,NGC5044,-11.4266935074,3.74374700751e-12,6.57676118905e-11,8.08578160206,0.460352001662,True,True,low,82.42,118.2,1.34879868494e-12,-11.8700528662,2.39494832257e-12,1.28681293821e-06
WALLABY J130947-101916,NGC5044,-11.4324300272,3.69462166694e-12,4.95222658585e-11,8.08578160206,0.34025761405,True,True,low,97.4,111.5,9.32253250187e-13,-12.0304660938,2.76236841675e-12,7.28057792723e-07
WALLABY J131739-213708,NGC5044,-11.2332507461,5.84452544728e-12,3.10549337544e-11,6.4312174681,0.0283533038161,True,True,low,7.5,38.2,5.84452544728e-12,-11.2332507461,0,5.20776725529e-07
WALLABY J131739-213708,NGC5044,-11.250450896,5.61757790546e-12,2.97351842331e-11,6.4312174681,0.0190129544916,True,True,low,22.47,64.7,4.4377190631e-12,-11.3528401949,1.17985884237e-12,1.86963746975e-06
WALLABY J131739-213708,NGC5044,-11.3288877957,4.68934520342e-12,2.45009954059e-11,6.4312174681,-0.0218774509298,True,True,low,37.43,75.8,2.55187371198e-12,-11.5931408219,2.13747149143e-12,7.44150664675e-07
WALLABY J131739-213708,NGC5044,-11.4686293624,3.39915240878e-12,1.90584169831e-11,6.4312174681,-0.0548218927925,True,True,low,52.4,79.1,1.45810912772e-12,-11.8362099714,1.94104328106e-12,1.62250133083e-07
WALLABY J131739-213708,NGC5044,-11.511440375,3.08006317958e-12,1.43402852883e-11,6.4312174681,-0.155208976066,True,True,low,67.37,77.8,8.79110566529e-13,-12.0559564999,2.20095261305e-12,0.000129699661513
WALLABY J132635-221419,NGC5044,-11.490678283,3.23088661435e-12,1.51375049818e-11,4.26881438606,-0.142925258642,True,True,low,7.5,18.6,3.23088661435e-12,-11.490678283,0,3.13304838989e-06
WALLABY J132635-221419,NGC5044,-11.1818727581,6.57850549739e-12,1.12419117199e-11,4.26881438606,-0.441479397639,True,True,low,22.56,27.8,3.54810968928e-12,-11.4500029625,3.03039580811e-12,2.870096206e-06
