galaxy_id,pair_index,rin_arcsec,rout_arcsec,sigma_hi_msun_pc2
WALLABY J125507+040229,3,42.0000000001,54.0000000001,0.0537548820834
WALLABY J125507+040229,4,54.0000000001,66.0000000001,0.0467611383896
WALLABY J125507+040229,5,66.0000000001,78.0000000002,0.00145199314693
WALLABY J125515+081543,0,6.00000000001,18,1.64669031344
WALLABY J125515+081543,1,18,30.0000000001,1.48636718576
WALLABY J125515+081543,2,30.0000000001,42.0000000001,0.819481938745
WALLABY J125515+081543,3,42.0000000001,54.0000000001,0.535162150663
WALLABY J125515+081543,4,54.0000000001,66.0000000001,0.227963409437
WALLABY J125515+081543,5,66.0000000001,78.0000000002,0.263140063374
WALLABY J125515+081543,6,78.0000000002,90.0000000002,0.110894026297
WALLABY J125515+081543,7,90.0000000002,102,0.114194737833
WALLABY J125515+081543,8,102,114,0.0271797920293
WALLABY J125515+081543,9,114,126,0.0170389779651
WALLABY J125515+081543,10,126,138,0.0103372525112
WALLABY J125515+081543,11,138,150,0.000950874652232
WALLABY J125523+075436,0,6.00000000001,18,4.98175444364
WALLABY J125523+075436,1,18,30.0000000001,3.69438289086
WALLABY J125523+075436,2,30.0000000001,42.0000000001,0.704150571636
WALLABY J125523+075436,3,42.0000000001,54.0000000001,0.444052718161
WALLABY J125523+075436,4,54.0000000001,66.0000000001,0.167121587185
WALLABY J125523+075436,5,66.0000000001,78.0000000002,0.0687692646436
WALLABY J125604+034843,0,6.00000000001,18,5.5216868302
WALLABY J125604+034843,1,18,30.0000000001,6.08729806974
WALLABY J125604+034843,2,30.0000000001,42.0000000001,4.91759245494
WALLABY J125604+034843,3,42.0000000001,54.0000000001,5.17359492904
WALLABY J125604+034843,4,54.0000000001,66.0000000001,3.79599240737
WALLABY J125604+034843,5,66.0000000001,78.0000000002,3.49457369175
WALLABY J125604+034843,6,78.0000000002,90.0000000002,2.17075804818
WALLABY J125604+034843,7,90.0000000002,102,1.52267806235
WALLABY J125604+034843,8,102,114,0.494313370524
WALLABY J125604+034843,9,114,126,0.320705539032
WALLABY J125604+034843,10,126,138,0.0900475586621
WALLABY J125604+034843,11,138,150,0.0388283514512
WALLABY J125604+034843,12,150,162,0.00723142532368
WALLABY J125604+064914,0,6.00000000001,18,4.95562928145
